Código,Descripción
a0,¿Fue parte del proyecto Inclusión Digital?
a1,¿Cuál es su sexo?
a2,¿Cuántos años tiene?
a3,¿En qué departamento se encuentra la unidad educativa de la cual es profesor?   
a4,¿En qué ciudad se encuentra la unidad educativa de la cual es profesor?
a40,¿Cuál es la Unidad Educativa donde imparte clases?
b1[b11],¿Cuál es el nivel de instrucción adquirido? [Profesor Normalista]
b1[b12],¿Cuál es el nivel de instrucción adquirido? [Técnico]
b1[b13],¿Cuál es el nivel de instrucción adquirido? [Licenciatura]
b1[b14],¿Cuál es el nivel de instrucción adquirido? [Especialidad]
b1[b15],¿Cuál es el nivel de instrucción adquirido? [Maestría]
b1[b16],¿Cuál es el nivel de instrucción adquirido? [Doctorado]
b1[other],¿Cuál es el nivel de instrucción adquirido? [Otro]
b2,¿Cuántos años de experiencia tiene como Profesor en toda su vida laboral?
b3,¿Cuánto tiempo es profesor de la Unidad Educativa que actualmente imparte clases?
b4,¿Cuántos años es profesor de la Unidad Educativa que actualmente imparte clases?
b6,¿Cúal es el área en la que imparte sus clases?
b71[b711],"¿Qué materias imparte en el área de Ciencia, Tecnología y Producción? [Matemática]"
b71[b712],"¿Qué materias imparte en el área de Ciencia, Tecnología y Producción? [Técnica tecnológica (labores -Manualidades)]"
b72[b721],"¿Qué materias imparte en el área de Vida, Tierra y Territorio? [Ciencias Naturales]"
b72[b722],"¿Qué materias imparte en el área de Vida, Tierra y Territorio? [Geografía]"
b72[b723],"¿Qué materias imparte en el área de Vida, Tierra y Territorio? [Biología]"
b72[b724],"¿Qué materias imparte en el área de Vida, Tierra y Territorio? [Física]"
b72[b725],"¿Qué materias imparte en el área de Vida, Tierra y Territorio? [Química]"
b73[b731],¿Qué materias imparte en el área de Comunidad y Sociedad? [Comunicación y Lenguajes (Castellana-Originaria)]
b73[b732],¿Qué materias imparte en el área de Comunidad y Sociedad? [Comunicación y Lenguajes (Lengua extranjera)]
b73[b733],¿Qué materias imparte en el área de Comunidad y Sociedad? [Ciencias Sociales]
