,a0,a2,a3,a4,b1.b11.,b1.b12.,b1.b13.,b1.b14.,b1.b15.,b1.b16.,b1.other.,b2,b6,b71.b711.,b71.b712.,b72.b721.,b72.b722.,b72.b723.,b72.b724.,b72.b725.,b73.b731.,b73.b732.,b73.b733.,b73.b734.,b73.b735.,b74.b741.,b74.b742.,b8,b9,c1,c2,c3,c4,c5,c6,c9.c31.,c9.c32.,c9.c33.,c9.c34.,c9.c35.,c9.c36.,c9.c37.,c9.c38.,c9.c39.,c9.c40.,c9.other.,d4,e1,e2,e3,e4,e6.e41.,e6.e42.,e6.e43.,e6.e44.,e6.e45.,e6.e46.,e6.e47.,e6.e48.,e6.e49.,e6.e4101.,e6.e4102.,e6.other.,e7,e8,e8.other.,e9.e71.,e9.e72.,e9.e73.,e9.e74.,e9.e75.,e9.e76.,e9.e77.,e9.e78.,e9.other.,f1.f11.,f1.f12.,f1.f13.,f1.f14.,f1.f15.,f1.f16.,f1.f17.,g1,g1.other.,g2,h1,h2,h3,h4,h5,h6,h7,i1,i2,i3,i4,i5,i6,j11.SQ001.,j11.SQ005.,j11.SQ006.,j11.SQ007.,j11.SQ008.,j2,k1.k12.,k1.k13.,k1.k14.,k1.k15.,k1.k16.,k1.other.,k2.k21.,k2.k22.,k2.k23.,k2.k24.,k2.k25.,k6,k7,k8,l2,m1,m2,m3,m4,m5,m6,m7,m71,m8,m9,m10,accesibilidad,utilidad,fiabilidad,soporte_tecnico,alfabetizacion
0,Sí,32,Santa Cruz,Santa Cruz de la Sierra,Sí,No,Sí,No,No,No,,20,"Ciencia, Tecnología y Producción",Sí,No,,,,,,,,,,,,,Sí,Aulas Tic,Sí,Computadora portátil,1.0,No,,Dotada por el ministerio,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,,Internet fijo,Casa,,Sí,No,No,Sí,Sí,No,No,No,,Sí,Sí,Dudoso,Sí,Dudoso,Sí,Sí,Windows,,Sí,Sí,Sí,Sí,Sí,desarrollo de habilidades pedagógicas y tecnológicas para aplicarlas a nuevas estrategias de enseñanza,Sí,No,Sí,Sí,Sí,En este año,Sí,Sí,Casi siempre,Casi siempre,Casi siempre,Casi siempre,Rara vez,Sí,No,No,Sí,Sí,No,,Sí,Sí,Sí,No,No,Casi siempre,Casi siempre,Casi siempre,Sí,buena,Me falto mas por aprender.,mucho,Es muy importante para un mejor desarrollo en el aprendizaje. ,Sí,Hubo motivación a la hora de aprender un nuevo tema.,excelente,Tuvieron la paciencia necesaria con todas nuestras dudas.,Sí,Seria bueno aprender mas.,Me gustaria que al proximo año siga existiendo este apoyo a los estudiantes y profesores.,0.889,0.817,1.0,0.8,0.857
1,Sí,38,La Paz,El Alto,Sí,No,Sí,No,No,No,,19,Comunidad y Sociedad,,,,,,,,No,No,No,No,Sí,,,Sí,proyecto Inclusión digital programado por la Agetic,Sí,Computadora portátil,1.0,No,,Dotada por el ministerio,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,,Internet móvil,Casa,,No,Sí,No,No,Sí,No,No,No,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,Sí,Sí,Sí,Sí,"libros digitales, programas para editar y escribir música y otros",Sí,No,Sí,Sí,Sí,En este año,No,Sí,Siempre,Siempre,Siempre,Siempre,Siempre,Sí,Sí,Sí,No,Sí,No,,Sí,Sí,Sí,No,No,Siempre,Siempre,Siempre,Sí,buena,respondió ha algunas inquietudes que tuve como docente,mucho,al tener conocimiento suficiente de las herramientas tecnológicas seria mas fluido la enseñanza - aprendizaje y se complementaria el conocimiento no solo del  estudiante si no también del docente.,Sí,"aun estamos en proceso de manejar estos software libres, pero pienso que sera de mucha utilidad.",buena,compartieron sus conocimientos.,Sí,cuanto mas te capacites con las nuevas tecnologías que a diario progresan estoy seguro que seria aun mas dinámico la enseñanza y aprendizaje. pero debemos tomar en cuenta que necesitamos implementar y renovar constantemente las nuevas tecnologías y deba adecuarse la infraestructura.,"espero que esta actividad piloto no se quede suspendida solo por ser una política de gobierno, mas al contrario deba fortalecerse con constantes actividades.",0.778,0.948,1.0,0.8,1.0
2,Sí,54,La Paz,La Paz,Sí,No,Sí,Sí,No,No,,20,Comunidad y Sociedad,,,,,,,,No,No,Sí,No,No,,,Sí,Elaboración de videos,Sí,Computadora portátil,2.0,Sí,1.0,Dotada por el ministerio,No,No,No,No,No,No,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,,Internet móvil,Casa,,Sí,No,No,Sí,Sí,No,No,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Linux,,Sí,Sí,Sí,Sí,Sí,Sossi,Sí,Sí,Sí,Sí,Sí,En este año,Sí,Sí,Ocasionalmente,Casi siempre,Casi siempre,Nunca,Rara vez,Sí,Sí,Sí,Sí,Sí,No,,Sí,Sí,Sí,No,No,Siempre,Siempre,Siempre,Sí,excelente,"Por que nos permite generar material para el desarrollo en clases, fortalece la creatividad, permite generar estrategias metodológicas capaces de dortaler las potencialidades de los estudiantes, permite romper con clases tradicionales, genera compromiso e  interes en los estudiantes. ",mucho,Porque rompe con laa Monotonía de una clase tradicional. ,Sí,Nos permite acceso ilimitado y económico. ,excelente,Mucho compromisos y capacidad de enseñanza a la demanda de los docentes que están en el proceso de trabajo con las TIC. ,Sí,"Por las herramientas que permite utilizar, que rompen  con las Clase tradicionales. ",Las observaciones que tengo es la falta de tiempo que tenemos los docentes que limita de alguna manera fortalecer las destrezas necesarias para fortalecer el proceso aprendizaje. ,0.889,0.676,1.0,1.0,1.0
3,Sí,54,La Paz,La Paz,No,No,Sí,No,No,No,,26,Comunidad y Sociedad,,,,,,,,Sí,No,No,No,No,,,Sí,Capacitación a profesores.,Sí,Computadora portátil,1.0,No,,Dotada por el ministerio,No,No,No,No,No,No,Sí,No,No,No,,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,Sí,,Internet fijo,Casa,,Sí,Sí,No,No,No,No,No,No,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,Sí,No,Sí,Sí,"Crucigramas,inskape,uso pizarra digital",Sí,Sí,Sí,No,No,,No,No,Ocasionalmente,Ocasionalmente,Casi siempre,Nunca,Casi siempre,Sí,Sí,No,No,Sí,No,,No,Sí,No,No,No,Ocasionalmente,Ocasionalmente,Rara vez,Sí,buena,Porque nos enseñaron con interés y paciencia.,mucho,Porque tenemos que motivar a los estudiantes con la tecnología ya que es un gran apoyo.,Sí,Porque se motivaron más.,buena,Pusieron mucho interés ganas en enseñar.,Sí,Porque necesitamos estar capacitados en el uso de Tics.,Que nos sigan capacitando con otros cursos.,0.556,0.293,1.0,0.8,0.929
4,Sí,34,La Paz,La Paz,No,No,Sí,No,No,No,,10,"Ciencia, Tecnología y Producción",Sí,No,,,,,,,,,,,,,Sí,Tics en educación,Sí,Computadora portátil,1.0,No,,Dotada por el ministerio,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,,No,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,,Internet fijo,Casa,,No,Sí,No,Sí,Sí,No,Sí,No,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,Sí,No,No,Sí,"Diapositivas, aplicaciones matemáticas",Sí,No,Sí,No,Sí,Hace un año,Sí,Sí,Ocasionalmente,Casi siempre,Casi siempre,Nunca,Rara vez,Sí,No,No,No,Sí,No,,No,No,Sí,No,No,Rara vez,Rara vez,Ocasionalmente,Sí,excelente,Siempre estuvieron atentos a nuestras dudas y facilitaron los programas.,mucho,Se diversifica las estrategias didácticas u motiva más al estudiante.,Sí,Motiva al estudiante a conocer y profundizar sus aprendizajes,excelente,Excelente disponibilidad para aclarar las dudas que nos quedaban y mucha paciencia.,Sí,"Los programas o aplicaciones son amplias, sin embargo se tiene las bases necesarias para implementarlas en aula",Que el proyecto no se quede y se nos apoye en linea o con tutoriales para fortalecer el trabajo en aula.,0.667,0.654,1.0,1.0,0.857
5,Sí,35,La Paz,El Alto,Sí,No,Sí,No,No,No,,5,Comunidad y Sociedad,,,,,,,,Sí,No,Sí,No,No,,,Sí,AGETIC,Sí,Computadora portátil,1.0,No,,Dotada por el ministerio,Sí,No,No,No,No,No,No,No,No,No,,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,,Internet móvil,Café Internet,,Sí,No,No,No,No,No,No,No,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,Sí,No,Sí,No,,,,Sí,No,No,,No,Sí,Casi siempre,Siempre,Siempre,Siempre,Siempre,Sí,Sí,Sí,Sí,No,No,,Sí,No,Sí,No,No,Siempre,Siempre,Siempre,Sí,buena,,mucho,,Sí,,buena,,Sí,,Coordinación con Quipus,0.667,0.4,1.0,0.8,0.929
6,Sí,51,La Paz,La Paz,Sí,No,Sí,No,No,No,Diplomado,21,Cosmos y Pensamiento,,,,,,,,,,,,,Sí,No,Sí,Inclucion digital,Sí,Computadora portátil,2.0,No,,Dotada por el ministerio,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,,Internet fijo,Casa,,No,Sí,Sí,No,No,No,No,No,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,No,No,No,Sí,Open Sop,Sí,No,Sí,Sí,No,,Sí,No,Rara vez,Nunca,Rara vez,Nunca,Rara vez,Sí,No,No,No,No,Sí,,Sí,No,No,No,No,Nunca,Nunca,Nunca,Sí,buena,Nos compartió conocimiento de manejo de software libre,mucho,Una nueva forma de aplicar las tecnologías en la educación ,Sí,Por la nueva presentación y el acceso más fácil en la educación de estudiantes y maestros,buena,Nos compartieron  nueva información del manejo de herramientas digitales,Sí,Me sentiría más libre en el manejo de herramientas digitales libres,Más continuidad y apoyo a los profesores,0.667,0.581,1.0,0.8,0.786
7,Sí,37,La Paz,El Alto,No,No,Sí,No,No,No,,13,Comunidad y Sociedad,,,,,,,,Sí,No,No,No,No,,,Sí,Ofimatica. Agetic,Sí,Computadora portátil,2.0,No,,Dotada por el ministerio,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Internet fijo,Casa,,No,Sí,No,Sí,Sí,No,No,No,,Sí,Sí,Dudoso,Dudoso,Dudoso,Sí,Sí,Windows,,No,No,No,No,No,,,,Sí,No,No,,Sí,Sí,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Sí,Sí,Sí,No,Sí,No,,Sí,Sí,No,Sí,No,Ocasionalmente,Ocasionalmente,Ocasionalmente,No,regular,Poco tiempo ,mucho,Es muy motivadora para la generacion de hoy,Sí,Atencion y motivacion,regular,Poco tiempo,Sí,Necesitamos clases intensasy practicas y moviliario equipado,Mas tiempo y clases practicas en aula,0.778,0.698,1.0,0.5,0.429
8,Sí,62,Oruro,Oruro,Sí,No,No,No,No,No,,34,"Ciencia, Tecnología y Producción",No,Sí,,,,,,,,,,,,,Sí,Implementación del uso de las tecnologías en aula,Sí,Computadora de escritorio,2.0,No,,Por cuenta propia,Sí,No,Sí,No,Sí,No,Sí,Sí,No,No,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,,Internet fijo,Casa,,No,Sí,No,No,No,No,No,No,,Dudoso,Dudoso,Dudoso,Sí,Dudoso,Sí,Sí,Windows,,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,En este año,Sí,Sí,Casi siempre,Siempre,Siempre,Siempre,Siempre,Sí,Sí,Sí,No,No,No,,Sí,No,No,No,No,Ocasionalmente,Ocasionalmente,Ocasionalmente,No,buena,,mas o menos,,Sí,,buena,,Sí,,,0.889,0.662,1.0,0.8,0.643
9,Sí,44,Oruro,Oruro,Sí,No,Sí,No,No,No,,19,"Vida, Tierra y Territorio",,,No,No,No,Sí,Sí,,,,,,,,Sí,Capacitación con Agetic,Sí,Computadora portátil,1.0,No,,Dotada por el ministerio,No,No,Sí,No,No,No,Sí,Sí,No,No,,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,No,Sí,No,No,No,No,No,,Internet móvil,Otro,Celular,No,Sí,No,Sí,No,No,No,No,,Sí,Dudoso,Dudoso,Dudoso,Sí,Sí,No,Windows,,Sí,Sí,Sí,No,No,,,,Sí,Sí,Sí,En este año,Sí,No,Ocasionalmente,Ocasionalmente,Rara vez,Rara vez,Ocasionalmente,Sí,No,Sí,No,No,No,,Sí,No,No,No,No,Ocasionalmente,Ocasionalmente,Ocasionalmente,No,buena,El aprendizaje es más dinámico ,mucho,El uso de tecnologías en el procedo de aprendizaje es bueno ya que tienen la facilidad de investigar más. ,Sí,Aprenden a investigar,buena,Porque colaboraron a los estudiante y también nos capacitaron ,Sí,Porque la practica hace al maestro,Ninguna ,0.667,0.515,1.0,0.8,0.571
