a0,a1,a2,a3,a4,a40,b1.b11.,b1.b12.,b1.b13.,b1.b14.,b1.b15.,b1.b16.,b1.other.,b2,b3,b4,b6,b71.b711.,b71.b712.,b72.b721.,b72.b722.,b72.b723.,b72.b724.,b72.b725.,b73.b731.,b73.b732.,b73.b733.,b73.b734.,b73.b735.,b74.b741.,b74.b742.,b8,b9,c1,c2,c3,c4,c5,c6,c6.other.,c9.c31.,c9.c32.,c9.c33.,c9.c34.,c9.c35.,c9.c36.,c9.c37.,c9.c38.,c9.c39.,c9.c40.,c9.other.,c10,d1,d2,d3.d31.,d3.d32.,d3.d33.,d3.d34.,d3.d35.,d3.d36.,d3.d37.,d3.d38.,d3.other.,d4,e1,e2,e3,e4,e5,e6.e41.,e6.e42.,e6.e43.,e6.e44.,e6.e45.,e6.e46.,e6.e47.,e6.e48.,e6.e49.,e6.e4101.,e6.e4102.,e6.other.,e7,e8,e8.other.,e9.e71.,e9.e72.,e9.e73.,e9.e74.,e9.e75.,e9.e76.,e9.e77.,e9.e78.,e9.other.,e10.e81.,e10.e82.,e10.e83.,e10.e84.,e10.e85.,e10.e86.,e10.e87.,e10.e88.,e10.e89.,e10.e90.,e10.e91.,e10.e92.,e10.e93.,e10.other.,e11,f1.f11.,f1.f12.,f1.f13.,f1.f14.,f1.f15.,f1.f16.,f1.f17.,g1,g1.other.,g2,g21,g3.g31.,g3.g32.,g3.g33.,g3.g34.,g3.g35.,g3.g36.,g3.g37.,g3.g38.,g3.g39.,g3.g40.,g3.g41.,g3.other.,h1,h2,h3,h4,h5,h6,h7,i1,i2,i3,i4,i5,i6,j11.SQ001.,j11.SQ002.,j11.SQ003.,j11.SQ004.,j11.SQ005.,j11.SQ006.,j11.SQ007.,j11.SQ008.,j2,k1.k12.,k1.k13.,k1.k14.,k1.k15.,k1.k16.,k1.other.,k2.k21.,k2.k22.,k2.k23.,k2.k24.,k2.k25.,k3,k4,k5,k6,k7,k8,l1.l11.,l1.l12.,l1.l13.,l1.l14.,l1.l15.,l1.other.,l2,l3,m1,m2,m3,m4,m5,m6,m7,m71,m8,m9,m10
Sí,Masculino,32,Santa Cruz,Santa Cruz de la Sierra,NACIONAL COTOCA,Sí,No,Sí,No,No,No,,20,Más de un año,15,"Ciencia, Tecnología y Producción",Sí,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sí,Aulas Tic,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,,Internet fijo,Casa,,Sí,No,No,Sí,Sí,No,No,No,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,,7,Sí,Sí,Dudoso,Sí,Dudoso,Sí,Sí,Windows,,Sí,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,Sí,Sí,Sí,desarrollo de habilidades pedagógicas y tecnológicas para aplicarlas a nuevas estrategias de enseñanza,Sí,No,Sí,Sí,Sí,En este año,Sí,Sí,Casi siempre,Casi siempre,Siempre,Siempre,Casi siempre,Casi siempre,Casi siempre,Rara vez,Sí,No,No,Sí,Sí,No,,Sí,Sí,Sí,No,No,Ocasionalmente,Ocasionalmente,Clases frontales,Casi siempre,Casi siempre,Casi siempre,Sí,Sí,Sí,Sí,No,,Sí,Promueve el involucramiento y la generación de iniciativas por parte de los estudiantes que contribuyan a su proceso de desarrollo y aprendizaje mediado por las tecnologías digitales,buena,Me falto mas por aprender.,mucho,Es muy importante para un mejor desarrollo en el aprendizaje. ,Sí,Hubo motivación a la hora de aprender un nuevo tema.,excelente,Tuvieron la paciencia necesaria con todas nuestras dudas.,Sí,Seria bueno aprender mas.,Me gustaria que al proximo año siga existiendo este apoyo a los estudiantes y profesores.
Sí,Masculino,38,La Paz,El Alto,PRIMAVERA B,Sí,No,Sí,No,No,No,,19,Más de un año,5,Comunidad y Sociedad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,Sí,N/A,N/A,Sí,proyecto Inclusión digital programado por la Agetic,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,,Internet móvil,Casa,,No,Sí,No,No,Sí,No,No,No,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,,5,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,Sí,Sí,Sí,"libros digitales, programas para editar y escribir música y otros",Sí,No,Sí,Sí,Sí,En este año,No,Sí,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Sí,Sí,Sí,No,Sí,No,,Sí,Sí,Sí,No,No,Casi siempre,Siempre,Clases prácticas,Siempre,Siempre,Siempre,Sí,Sí,Sí,Sí,Sí,,Sí,el proyecto de inclusión digital es para generar conocimientos suficientes de las herramientas tecnológicas que puedan servir para nuestro cotidiano vivir.,buena,respondió ha algunas inquietudes que tuve como docente,mucho,al tener conocimiento suficiente de las herramientas tecnológicas seria mas fluido la enseñanza - aprendizaje y se complementaria el conocimiento no solo del  estudiante si no también del docente.,Sí,"aun estamos en proceso de manejar estos software libres, pero pienso que sera de mucha utilidad.",buena,compartieron sus conocimientos.,Sí,cuanto mas te capacites con las nuevas tecnologías que a diario progresan estoy seguro que seria aun mas dinámico la enseñanza y aprendizaje. pero debemos tomar en cuenta que necesitamos implementar y renovar constantemente las nuevas tecnologías y deba adecuarse la infraestructura.,"espero que esta actividad piloto no se quede suspendida solo por ser una política de gobierno, mas al contrario deba fortalecerse con constantes actividades."
Sí,Femenino,54,La Paz,La Paz,DOMINGO FAUSTINO SARMIENTO,Sí,No,Sí,Sí,No,No,,20,Más de un año,5,Comunidad y Sociedad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,Sí,No,No,N/A,N/A,Sí,Elaboración de videos,Sí,Computadora portátil,2,Sí,1,Dotada por el ministerio,,No,No,No,No,No,No,Sí,Sí,Sí,Sí,,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Audio,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,,Internet móvil,Casa,,Sí,No,No,Sí,Sí,No,No,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,,7,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Linux,,Sí,4,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,NA,Sí,Sí,Sí,Sí,Sossi,Sí,Sí,Sí,Sí,Sí,En este año,Sí,Sí,Ocasionalmente,Siempre,Siempre,Siempre,Casi siempre,Casi siempre,Nunca,Rara vez,Sí,Sí,Sí,Sí,Sí,No,,Sí,Sí,Sí,No,No,Siempre,Siempre,Clases prácticas,Siempre,Siempre,Siempre,Sí,No,No,No,No,,Sí,Fortalecer las capacidades y habilidades de los estudiantes en el proceso de aprendizaje. Propios de la coyuntura actual. La tecnología es parte de su cotidiano y no  ingresar en las TIC. es estar al margen de la realidad educativa. ,excelente,"Por que nos permite generar material para el desarrollo en clases, fortalece la creatividad, permite generar estrategias metodológicas capaces de dortaler las potencialidades de los estudiantes, permite romper con clases tradicionales, genera compromiso e  interes en los estudiantes. ",mucho,Porque rompe con laa Monotonía de una clase tradicional. ,Sí,Nos permite acceso ilimitado y económico. ,excelente,Mucho compromisos y capacidad de enseñanza a la demanda de los docentes que están en el proceso de trabajo con las TIC. ,Sí,"Por las herramientas que permite utilizar, que rompen  con las Clase tradicionales. ",Las observaciones que tengo es la falta de tiempo que tenemos los docentes que limita de alguna manera fortalecer las destrezas necesarias para fortalecer el proceso aprendizaje. 
Sí,Femenino,54,La Paz,La Paz,ABRAHAM REYES FE Y ALEGRIA,No,No,Sí,No,No,No,,26,Menos de un año,NA,Comunidad y Sociedad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sí,No,No,No,No,N/A,N/A,Sí,Capacitación a profesores.,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,,No,No,No,No,No,No,Sí,No,No,No,,No,Sí,Sí,Sí,No,No,No,Sí,No,No,Sí,,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,Sí,,Internet fijo,Casa,,Sí,Sí,No,No,No,No,No,No,,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,,5,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,No,Sí,Sí,"Crucigramas,inskape,uso pizarra digital",Sí,Sí,Sí,No,No,,No,No,Ocasionalmente,Ocasionalmente,Casi siempre,Ocasionalmente,Ocasionalmente,Casi siempre,Nunca,Casi siempre,Sí,Sí,No,No,Sí,No,,No,Sí,No,No,No,Casi siempre,Ocasionalmente,Clases prácticas,Ocasionalmente,Ocasionalmente,Rara vez,Sí,No,No,No,Sí,,Sí,Es la inserción de todos los actores de la comunidad educativa en la tecnología.,buena,Porque nos enseñaron con interés y paciencia.,mucho,Porque tenemos que motivar a los estudiantes con la tecnología ya que es un gran apoyo.,Sí,Porque se motivaron más.,buena,Pusieron mucho interés ganas en enseñar.,Sí,Porque necesitamos estar capacitados en el uso de Tics.,Que nos sigan capacitando con otros cursos.
Sí,Masculino,34,La Paz,La Paz,ABRAHAM REYES FE Y ALEGRIA,No,No,Sí,No,No,No,,10,Más de un año,7,"Ciencia, Tecnología y Producción",Sí,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sí,Tics en educación,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,No,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,,Internet fijo,Casa,,No,Sí,No,Sí,Sí,No,Sí,No,,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,No,No,,7,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,No,No,Sí,"Diapositivas, aplicaciones matemáticas",Sí,No,Sí,No,Sí,Hace un año,Sí,Sí,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Casi siempre,Casi siempre,Nunca,Rara vez,Sí,No,No,No,Sí,No,,No,No,Sí,No,No,Ocasionalmente,Ocasionalmente,Clases prácticas,Rara vez,Rara vez,Ocasionalmente,Sí,Sí,Sí,No,Sí,,Sí,Que tanto profesores y estudiantes accedan a  nuevas TICS con las mías y distintas aplicaciones o programas libres para mejorar el aprendizaje,excelente,Siempre estuvieron atentos a nuestras dudas y facilitaron los programas.,mucho,Se diversifica las estrategias didácticas u motiva más al estudiante.,Sí,Motiva al estudiante a conocer y profundizar sus aprendizajes,excelente,Excelente disponibilidad para aclarar las dudas que nos quedaban y mucha paciencia.,Sí,"Los programas o aplicaciones son amplias, sin embargo se tiene las bases necesarias para implementarlas en aula",Que el proyecto no se quede y se nos apoye en linea o con tutoriales para fortalecer el trabajo en aula.
Sí,Masculino,35,La Paz,El Alto,TUPAC AMARU,Sí,No,Sí,No,No,No,,5,Más de un año,2,Comunidad y Sociedad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sí,No,Sí,No,No,N/A,N/A,Sí,AGETIC,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,,Sí,No,No,No,No,No,No,No,No,No,,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,No,,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,,Internet móvil,Café Internet,,Sí,No,No,No,No,No,No,No,,Sí,No,Sí,Sí,Sí,No,No,No,No,No,No,No,No,,7,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,No,Sí,No,,N/A,N/A,Sí,No,No,,No,Sí,Casi siempre,Casi siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Sí,Sí,Sí,Sí,No,No,,Sí,No,Sí,No,No,Siempre,Siempre,Talleres,Siempre,Siempre,Siempre,Sí,Sí,No,No,Sí,,Sí,Aprendizaje del software libre,buena,,mucho,,Sí,,buena,,Sí,,Coordinación con Quipus
Sí,Masculino,51,La Paz,La Paz,ABRAHAM REYES FE Y ALEGRIA,Sí,No,Sí,No,No,No,Diplomado,21,Más de un año,5,Cosmos y Pensamiento,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sí,No,Sí,Inclucion digital,Sí,Computadora portátil,2,No,NA,Dotada por el ministerio,,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,,Internet fijo,Casa,,No,Sí,Sí,No,No,No,No,No,,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,No,No,,7,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Windows,,Sí,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,No,No,No,Sí,Open Sop,Sí,No,Sí,Sí,No,,Sí,No,Rara vez,Casi siempre,Ocasionalmente,Nunca,Nunca,Rara vez,Nunca,Rara vez,Sí,No,No,No,No,Sí,,Sí,No,No,No,No,Ocasionalmente,Rara vez,Clases frontales,Nunca,Nunca,Nunca,No,No,No,No,No,Curso de aplicación de Kuas,Sí,"La aplicación del Open Sop, Audacity, Inkscape, Gimp, Sozi",buena,Nos compartió conocimiento de manejo de software libre,mucho,Una nueva forma de aplicar las tecnologías en la educación ,Sí,Por la nueva presentación y el acceso más fácil en la educación de estudiantes y maestros,buena,Nos compartieron  nueva información del manejo de herramientas digitales,Sí,Me sentiría más libre en el manejo de herramientas digitales libres,Más continuidad y apoyo a los profesores
Sí,Femenino,37,La Paz,El Alto,PUERTO DE MEJILLONES CIUDAD SATELITE,No,No,Sí,No,No,No,,13,Más de un año,3,Comunidad y Sociedad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sí,No,No,No,No,N/A,N/A,Sí,Ofimatica. Agetic,Sí,Computadora portátil,2,No,NA,Dotada por el ministerio,,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Internet fijo,Casa,,No,Sí,No,Sí,Sí,No,No,No,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,,7,Sí,Sí,Dudoso,Dudoso,Dudoso,Sí,Sí,Windows,,No,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,No,No,No,No,,N/A,N/A,Sí,No,No,,Sí,Sí,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Sí,Sí,Sí,No,Sí,No,,Sí,Sí,No,Sí,No,Siempre,Casi siempre,Clases prácticas,Ocasionalmente,Ocasionalmente,Ocasionalmente,Sí,Sí,Sí,Sí,Sí,,No,,regular,Poco tiempo ,mucho,Es muy motivadora para la generacion de hoy,Sí,Atencion y motivacion,regular,Poco tiempo,Sí,Necesitamos clases intensasy practicas y moviliario equipado,Mas tiempo y clases practicas en aula
Sí,Femenino,62,Oruro,Oruro,PANTALEON DALENCE 1,Sí,No,No,No,No,No,,34,Más de un año,30,"Ciencia, Tecnología y Producción",No,Sí,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sí,Implementación del uso de las tecnologías en aula,Sí,Computadora de escritorio,2,No,NA,Por cuenta propia,,Sí,No,Sí,No,Sí,No,Sí,Sí,No,No,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,,Internet fijo,Casa,,No,Sí,No,No,No,No,No,No,,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,,7,Dudoso,Dudoso,Dudoso,Sí,Dudoso,Sí,Sí,Windows,,Sí,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,En este año,Sí,Sí,Casi siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Sí,Sí,Sí,No,No,No,,Sí,No,No,No,No,Ocasionalmente,Rara vez,Clases prácticas,Ocasionalmente,Ocasionalmente,Ocasionalmente,No,No,No,No,Sí,,No,,buena,,mas o menos,,Sí,,buena,,Sí,,
Sí,Femenino,44,Oruro,Oruro,JUAN MISAEL SARACHO SECUNDARIA,Sí,No,Sí,No,No,No,,19,Más de un año,11,"Vida, Tierra y Territorio",N/A,N/A,No,No,No,Sí,Sí,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sí,Capacitación con Agetic,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,,No,No,Sí,No,No,No,Sí,Sí,No,No,,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,No,,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,No,Sí,No,No,No,No,No,,Internet móvil,Otro,Celular,No,Sí,No,Sí,No,No,No,No,,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,,7,Sí,Dudoso,Dudoso,Dudoso,Sí,Sí,No,Windows,,Sí,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Sí,Sí,No,No,,N/A,N/A,Sí,Sí,Sí,En este año,Sí,No,Ocasionalmente,Casi siempre,Ocasionalmente,Ocasionalmente,Ocasionalmente,Rara vez,Rara vez,Ocasionalmente,Sí,No,Sí,No,No,No,,Sí,No,No,No,No,Ocasionalmente,Casi siempre,Clases frontales,Ocasionalmente,Ocasionalmente,Ocasionalmente,No,No,No,Sí,No,,No,,buena,El aprendizaje es más dinámico ,mucho,El uso de tecnologías en el procedo de aprendizaje es bueno ya que tienen la facilidad de investigar más. ,Sí,Aprenden a investigar,buena,Porque colaboraron a los estudiante y también nos capacitaron ,Sí,Porque la practica hace al maestro,Ninguna 
