lat,long
-22.09473,-65.1902
-22.1,-65.59889
-22.10889,-65.6575
-22.11334,-65.73418
-22.11167,-65.74806
-22.11,-65.75389
-22.10528,-65.7639
-22.07139,-65.81279
-22.00556,-65.86751
-21.93333,-65.92612
-21.83195,-66.07752
-21.78833,-66.19473
-21.78052,-66.22301
-21.79031,-66.23444
-21.80361,-66.23807
-21.90223,-66.26306
-21.97806,-66.28195
-22.03195,-66.29112
-22.03861,-66.2914
-22.07695,-66.30695
-22.11663,-66.34538
-22.13417,-66.40224
-22.16111,-66.49556
-22.17834,-66.55972
-22.19195,-66.61639
-22.19611,-66.6889
-22.2275,-66.73668
-22.375,-66.77139
-22.42695,-66.77473
-22.45306,-66.85028
-22.47806,-66.92639
-22.52389,-67.02251
-22.57389,-67.01807
-22.62556,-67.01306
-22.64278,-67.01222
-22.71806,-67.12306
-22.72111,-67.12584
-22.82167,-67.18362
-22.85278,-67.33501
-22.90111,-67.57918
-22.87806,-67.79334
-22.82806,-67.8764
-22.71278,-67.88417
-22.56056,-67.8514
-22.54917,-67.84807
-22.43278,-67.88667
-22.42,-67.89446
-22.30028,-67.93279
-22.28028,-67.92389
-22.2675,-67.92195
-22.24195,-67.92223
-22.10722,-67.94362
-22.10222,-67.94528
-22.06028,-67.97278
-22.04695,-67.99695
-21.96695,-68.08446
-21.95639,-68.08585
-21.91306,-68.08751
-21.88028,-68.08612
-21.84278,-68.08751
-21.82,-68.09056
-21.75306,-68.10278
-21.7375,-68.10751
-21.69806,-68.12195
-21.67528,-68.13335
-21.65861,-68.14418
-21.62778,-68.17001
-21.61306,-68.18362
-21.60639,-68.18861
-21.29695,-68.18861
-21.2332,-68.22981
-20.93917,-68.42111
-20.93861,-68.42696
-20.93945,-68.45361
-20.94167,-68.4789
-20.93945,-68.5
-20.93584,-68.5114
-20.92917,-68.52724
-20.92362,-68.53639
-20.91667,-68.54363
-20.90945,-68.55057
-20.89639,-68.55806
-20.89445,-68.55769
-20.89139,-68.56001
-20.87028,-68.56557
-20.74223,-68.56751
-20.73,-68.56529
-20.72084,-68.55972
-20.69111,-68.5325
-20.68417,-68.52528
-20.67167,-68.50917
-20.65472,-68.47696
-20.64861,-68.4689
-20.64473,-68.46584
-20.63917,-68.4639
-20.63306,-68.46417
-20.62889,-68.46668
-20.62139,-68.47334
-20.60473,-68.49251
-20.5675,-68.54945
-20.55889,-68.57085
-20.55,-68.59973
-20.54195,-68.62167
-20.53528,-68.63722
-20.52306,-68.66196
-20.50972,-68.68472
-20.50028,-68.69724
-20.47084,-68.72473
-20.45028,-68.73918
-20.43306,-68.74945
-20.42306,-68.75307
-20.40695,-68.75696
-20.38973,-68.7589
-20.37611,-68.75751
-20.36611,-68.75307
-20.36223,-68.74973
-20.35584,-68.74196
-20.34861,-68.72806
-20.33806,-68.70361
-20.23778,-68.72112
-20.13973,-68.76056
-20.13472,-68.77028
-20.13167,-68.77445
-20.12445,-68.78111
-20.12,-68.78362
-20.11,-68.78723
-20.10334,-68.78667
-20.09778,-68.78473
-20.09333,-68.78195
-20.08556,-68.77528
-20.08,-68.76695
-20.05667,-68.65056
-20.05084,-68.61862
-20.05056,-68.61195
-20.05473,-68.59334
-20.05667,-68.58778
-20.05778,-68.58112
-20.0575,-68.57445
-20.04223,-68.56778
-19.91639,-68.52335
-19.83389,-68.56696
-19.78584,-68.62611
-19.74778,-68.68224
-19.74361,-68.69278
-19.74056,-68.69695
-19.73612,-68.69945
-19.73,-68.69972
-19.70723,-68.68973
-19.69889,-68.68362
-19.60778,-68.60196
-19.56654,-68.57256
-19.53972,-68.55139
-19.44389,-68.45195
-19.44056,-68.44112
-19.43723,-68.4375
-19.43028,-68.4375
-19.42028,-68.44084
-19.4125,-68.44751
-19.36389,-68.49695
-19.32195,-68.54695
-19.31667,-68.55556
-19.30473,-68.58
-19.30278,-68.58528
-19.29723,-68.60834
-19.28695,-68.63362
-19.27723,-68.65085
-19.27389,-68.65445
-19.26083,-68.66223
-19.17778,-68.74085
-19.14195,-68.7825
-19.07028,-68.89473
-19.06334,-68.90224
-19.05528,-68.90779
-18.95306,-68.96584
-18.88278,-68.93279
-18.84584,-68.9514
-18.74306,-69.00057
-18.65861,-69.02445
-18.61139,-69.02918
-18.56,-69.0325
-18.5075,-69.02556
-18.48972,-69.02278
-18.47722,-69.02417
-18.46639,-69.02695
-18.45195,-69.03334
-18.44306,-69.03835
-18.43889,-69.04112
-18.41889,-69.05612
-18.41556,-69.05972
-18.40389,-69.06917
-18.395,-69.0739
-18.38945,-69.07556
-18.28584,-69.08556
-18.23945,-69.08667
-18.23333,-69.08751
-18.22361,-69.09168
-18.21611,-69.09807
-18.20223,-69.11223
-18.19945,-69.11667
-18.18584,-69.13112
-18.17334,-69.13973
-18.16028,-69.14751
-18.15556,-69.14973
-18.14917,-69.15028
-18.13778,-69.14806
-18.12889,-69.14279
-18.12139,-69.1364
-18.11778,-69.13278
-18.10917,-69.12029
-18.10639,-69.11585
-18.10222,-69.10584
-18.08861,-69.08417
-18.08528,-69.08057
-18.07723,-69.07472
-18.05945,-69.07167
-18.03889,-69.07167
-18.03792,-69.07494
-18.03028,-69.12779
-18.0275,-69.13945
-17.9825,-69.28723
-17.97973,-69.29167
-17.97306,-69.29889
-17.96334,-69.30335
-17.94806,-69.3089
-17.92695,-69.31529
-17.89195,-69.3214
-17.83306,-69.31807
-17.82,-69.31862
-17.81445,-69.32001
-17.79028,-69.33057
-17.74556,-69.35556
-17.72695,-69.37611
-17.63556,-69.48361
-17.63028,-69.49085
-17.50528,-69.49973
-17.37889,-69.50111
-17.34778,-69.53362
-17.29528,-69.59084
-17.28725,-69.65619
-17.21473,-69.6189
-17.18472,-69.59279
-17.13417,-69.53778
-17.12556,-69.52528
-17.09556,-69.47334
-17.09361,-69.46861
-17.09445,-69.46335
-17.10334,-69.4514
-17.10278,-69.4464
-17.07222,-69.4064
-17.055,-69.38834
-17.05084,-69.38556
-16.92834,-69.32224
-16.92417,-69.31917
-16.77806,-69.19196
-16.71389,-69.11585
-16.71139,-69.10445
-16.70723,-69.09445
-16.6875,-69.05751
-16.68,-69.0439
-16.66361,-69.01807
-16.65695,-69.01112
-16.64376,-69.0023
-16.63651,-69.00754
-16.62222,-69.02112
-16.61917,-69.02528
-16.61195,-69.0314
-16.60695,-69.03389
-16.59639,-69.03751
-16.55417,-69.04112
-16.54112,-69.04167
-16.47306,-69.03418
-16.41972,-68.99085
-16.35667,-68.84056
-16.35139,-68.82613
-16.33973,-68.82251
-16.32778,-68.82333
-16.32167,-68.82445
-16.31611,-68.82668
-16.30639,-68.83084
-16.3025,-68.83362
-16.29556,-68.84084
-16.28917,-68.84862
-16.21222,-68.96056
-16.20945,-68.96501
-16.2075,-68.97
-16.20723,-68.97723
-16.20695,-69.04028
-16.2075,-69.04668
-16.20972,-69.05168
-16.22,-69.0625
-16.22806,-69.06834
-16.23084,-69.07278
-16.23139,-69.07918
-16.22361,-69.13417
-16.22084,-69.14584
-16.21861,-69.15056
-16.21306,-69.15918
-16.20972,-69.16278
-16.16056,-69.21195
-16.15639,-69.21474
-16.15139,-69.21668
-15.625,-69.42001
-15.61806,-69.42195
-15.43889,-69.3325
-15.32695,-69.26834
-15.26472,-69.2014
-15.25861,-69.19334
-15.25861,-69.18779
-15.26,-69.18224
-15.26417,-69.17223
-15.265,-69.16585
-15.26417,-69.15918
-15.26306,-69.15363
-15.25834,-69.14418
-15.25056,-69.13779
-15.24583,-69.13695
-15.23,-69.13612
-15.22528,-69.13806
-15.18778,-69.17084
-15.15861,-69.19778
-15.07945,-69.29501
-14.97833,-69.37584
-14.97,-69.38139
-14.95889,-69.38417
-14.95195,-69.38417
-14.80861,-69.36723
-14.8025,-69.36639
-14.79778,-69.36418
-14.79361,-69.36139
-14.78334,-69.35057
-14.77639,-69.3364
-14.76695,-69.31056
-14.6875,-69.2489
-14.65417,-69.24861
-14.61639,-69.24474
-14.60528,-69.24167
-14.58945,-69.23668
-14.58472,-69.23445
-14.57639,-69.2289
-14.48417,-69.11557
-14.39028,-68.99139
-14.38334,-68.98445
-14.37917,-68.9814
-14.37445,-68.97945
-14.3675,-68.97917
-14.35667,-68.98222
-14.34,-68.99335
-14.33639,-68.99695
-14.33417,-69.00195
-14.33361,-69.00696
-14.25417,-69.00557
-14.24333,-68.99918
-14.23306,-68.98862
-14.23028,-68.98418
-14.22556,-68.96779
-14.22222,-68.95001
-14.21695,-68.91278
-14.20889,-68.86446
-14.20667,-68.85945
-14.20334,-68.85584
-14.19917,-68.85306
-14.19306,-68.85223
-14.17445,-68.85417
-14.04361,-68.89111
-14.03389,-68.89557
-14.02972,-68.89806
-14.02,-68.90973
-14.0075,-68.93251
-14.00333,-68.94223
-13.99084,-68.95778
-13.98333,-68.96417
-13.97084,-68.97278
-13.96167,-68.97751
-13.83945,-69.00168
-13.79111,-69.01418
-13.70778,-69.06279
-13.64445,-69.02945
-13.64445,-69.02251
-13.64167,-69.01807
-13.63833,-69.01473
-13.63417,-69.01167
-13.56611,-68.97917
-13.51306,-68.96195
-13.50056,-68.96056
-13.45278,-68.95946
-13.2725,-68.96056
-13.16611,-68.96834
-13.10333,-68.9689
-13.09,-68.96806
-13.02667,-68.96335
-13.00722,-68.97168
-12.99667,-68.97501
-12.86972,-68.97446
-12.86334,-68.97362
-12.85917,-68.97084
-12.80278,-68.92223
-12.75889,-68.88167
-12.75611,-68.87723
-12.73306,-68.81557
-12.64417,-68.76834
-12.58472,-68.74362
-12.50115,-68.6739
-12.49583,-68.67751
-12.45417,-68.69862
-12.37806,-68.73639
-12.35028,-68.74945
-12.08695,-68.88028
-12.00361,-68.9225
-11.99306,-68.92807
-11.94472,-68.95723
