,quadkey,tile,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
4481982,2100133333331200,"POLYGON ((-67.5439453125 -11.1137272821727, -67.5384521484375 -11.1137272821727, -67.5384521484375 -11.1191173804255, -67.5439453125 -11.1191173804255, -67.5439453125 -11.1137272821727))",671,9679,71,1,1
4485379,2100313113311001,"POLYGON ((-67.5384521484375 -14.4346802152973, -67.532958984375 -14.4346802152973, -67.532958984375 -14.4399999100842, -67.5384521484375 -14.4399999100842, -67.5384521484375 -14.4346802152973))",14919,11459,46,78,2
4485380,2100313113311012,"POLYGON ((-67.532958984375 -14.4399999100842, -67.5274658203125 -14.4399999100842, -67.5274658203125 -14.4453194776912, -67.532958984375 -14.4453194776912, -67.532958984375 -14.4399999100842))",19376,9636,24,8,1
4485485,2100313210303133,"POLYGON ((-69.3511962890625 -15.5119122493399, -69.345703125 -15.5119122493399, -69.345703125 -15.5172052563298, -69.3511962890625 -15.5172052563298, -69.3511962890625 -15.5119122493399))",12487,315,45,2,1
4485486,2100313213010333,"POLYGON ((-69.1314697265625 -15.6600649920673, -69.1259765625 -15.6600649920673, -69.1259765625 -15.6653541820933, -69.1314697265625 -15.6653541820933, -69.1314697265625 -15.6600649920673))",2531,1663,50,1,1
4485488,2100313231012231,"POLYGON ((-69.1534423828125 -16.0352548623504, -69.14794921875 -16.0352548623504, -69.14794921875 -16.0405342279798, -69.1534423828125 -16.0405342279798, -69.1534423828125 -16.0352548623504))",6456,2764,72,2,1
4485489,2100313231012320,"POLYGON ((-69.14794921875 -16.0352548623504, -69.1424560546875 -16.0352548623504, -69.1424560546875 -16.0405342279798, -69.14794921875 -16.0405342279798, -69.14794921875 -16.0352548623504))",641,157,551,3,3
4485490,2100313231012321,"POLYGON ((-69.1424560546875 -16.0352548623504, -69.136962890625 -16.0352548623504, -69.136962890625 -16.0405342279798, -69.1424560546875 -16.0405342279798, -69.1424560546875 -16.0352548623504))",1721,762,137,1,1
4485491,2100313231012322,"POLYGON ((-69.14794921875 -16.0405342279798, -69.1424560546875 -16.0405342279798, -69.1424560546875 -16.0458134537522, -69.14794921875 -16.0458134537522, -69.14794921875 -16.0405342279798))",1911,968,12,1,1
4485492,2100313231013220,"POLYGON ((-69.1259765625 -16.0352548623504, -69.1204833984375 -16.0352548623504, -69.1204833984375 -16.0405342279798, -69.1259765625 -16.0405342279798, -69.1259765625 -16.0352548623504))",1447,814,9,1,1
4485493,2100313231032111,"POLYGON ((-69.1314697265625 -16.0880422201488, -69.1259765625 -16.0880422201488, -69.1259765625 -16.0933201853593, -69.1314697265625 -16.0933201853593, -69.1314697265625 -16.0880422201488))",479,48,308,1,1
4485495,2100313231211330,"POLYGON ((-69.093017578125 -16.1619209537853, -69.0875244140625 -16.1619209537853, -69.0875244140625 -16.1671969515124, -69.093017578125 -16.1671969515124, -69.093017578125 -16.1619209537853))",1960,700,200,21,21
4485496,2100313231211331,"POLYGON ((-69.0875244140625 -16.1619209537853, -69.08203125 -16.1619209537853, -69.08203125 -16.1671969515124, -69.0875244140625 -16.1671969515124, -69.0875244140625 -16.1619209537853))",1301,948,166,2,2
4485501,2100313233321002,"POLYGON ((-69.0380859375 -16.5572271871027, -69.0325927734375 -16.5572271871027, -69.0325927734375 -16.5624925083749, -69.0380859375 -16.5624925083749, -69.0380859375 -16.5572271871027))",20449,21318,57,1,1
4485502,2100313233321020,"POLYGON ((-69.0380859375 -16.5624925083749, -69.0325927734375 -16.5624925083749, -69.0325927734375 -16.5677576857484, -69.0380859375 -16.5677576857484, -69.0380859375 -16.5624925083749))",16674,20907,54,2,1
4485503,2100313301111123,"POLYGON ((-68.2196044921875 -15.3000811273709, -68.214111328125 -15.3000811273709, -68.214111328125 -15.3053795304367, -68.2196044921875 -15.3053795304367, -68.2196044921875 -15.3000811273709))",15687,4425,24,3,1
4485504,2100313302330311,"POLYGON ((-68.6041259765625 -15.8979424010221, -68.5986328125 -15.8979424010221, -68.5986328125 -15.9032253884824, -68.6041259765625 -15.9032253884824, -68.6041259765625 -15.8979424010221))",5186,5282,49,1,1
4485505,2100313310313010,"POLYGON ((-67.884521484375 -15.4960324142386, -67.8790283203125 -15.4960324142386, -67.8790283203125 -15.5013258282526, -67.884521484375 -15.5013258282526, -67.884521484375 -15.4960324142386))",5130,3233,33,2,1
4485506,2100313310313011,"POLYGON ((-67.8790283203125 -15.4960324142386, -67.87353515625 -15.4960324142386, -67.87353515625 -15.5013258282526, -67.8790283203125 -15.5013258282526, -67.8790283203125 -15.4960324142386))",2310,2142,31,2,1
4485507,2100313313313002,"POLYGON ((-67.5439453125 -15.8398203908927, -67.5384521484375 -15.8398203908927, -67.5384521484375 -15.8451049022735, -67.5439453125 -15.8451049022735, -67.5439453125 -15.8398203908927))",9938,3093,18,1,1
4485508,2100313320321030,"POLYGON ((-68.675537109375 -16.2252236219241, -68.6700439453125 -16.2252236219241, -68.6700439453125 -16.2304979268436, -68.675537109375 -16.2304979268436, -68.675537109375 -16.2252236219241))",1269,1668,7,2,1
4485509,2100313320332313,"POLYGON ((-68.6041259765625 -16.2832331959588, -68.5986328125 -16.2832331959588, -68.5986328125 -16.288505943963, -68.6041259765625 -16.288505943963, -68.6041259765625 -16.2832331959588))",974,641,118,5,1
4485510,2100313321222322,"POLYGON ((-68.53271484375 -16.2937785501843, -68.5272216796875 -16.2937785501843, -68.5272216796875 -16.2990510145818, -68.53271484375 -16.2990510145818, -68.53271484375 -16.2937785501843))",5629,2476,30,3,1
4485511,2100313322321010,"POLYGON ((-68.675537109375 -16.5519617219725, -68.6700439453125 -16.5519617219725, -68.6700439453125 -16.5572271871027, -68.675537109375 -16.5572271871027, -68.675537109375 -16.5519617219725))",3766,3060,46,25,1
4485512,2100313322321011,"POLYGON ((-68.6700439453125 -16.5519617219725, -68.66455078125 -16.5519617219725, -68.66455078125 -16.5572271871027, -68.6700439453125 -16.5572271871027, -68.6700439453125 -16.5519617219725))",4490,2427,49,1,1
4485513,2100313322321012,"POLYGON ((-68.675537109375 -16.5572271871027, -68.6700439453125 -16.5572271871027, -68.6700439453125 -16.5624925083749, -68.675537109375 -16.5624925083749, -68.675537109375 -16.5572271871027))",303,463,38,1,1
4485514,2100313322321100,"POLYGON ((-68.66455078125 -16.5519617219725, -68.6590576171875 -16.5519617219725, -68.6590576171875 -16.5572271871027, -68.66455078125 -16.5572271871027, -68.66455078125 -16.5519617219725))",5020,1832,58,1,1
4485515,2100313322321110,"POLYGON ((-68.653564453125 -16.5519617219725, -68.6480712890625 -16.5519617219725, -68.6480712890625 -16.5572271871027, -68.653564453125 -16.5572271871027, -68.653564453125 -16.5519617219725))",6219,1947,63,1,1
